date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Fri May 07 23:37:11 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1B2TQ
",TRUE,FALSE,TRUE,870 000,https://www.immotop.lu/properties/used/apartment/2196494,76,,2,-1,1,84. Ch,0,1,0,0,-1,0,0.55,2
Fri May 07 23:39:09 2021,"
Duplex à vendre à LUXEMBOURG-BONNEVOIE
1HGIV
",TRUE,FALSE,TRUE,980 000,https://www.immotop.lu/properties/used/apartment/duplex/2494183,209,,3,2000,0,105. C,0,1,0,0,3,0,0.55,3
Fri May 07 23:59:52 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1EHV2
",TRUE,FALSE,TRUE,775 000,https://www.immotop.lu/properties/used/apartment/2355950,1702,,2,1956,1,60. Ch,0,1,0,0,-1,1,0.55,2
Fri May 07 23:37:31 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HEI1
",TRUE,FALSE,TRUE,620 000,https://www.immotop.lu/properties/used/apartment/2491561,89,,1,-1,1,65. Ch,0,0,0,0,-1,0,0.5,1
Fri May 07 23:41:07 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1HEIA
",TRUE,FALSE,TRUE,599 000,https://www.immotop.lu/properties/used/apartment/2491570,359,,1,1994,1,58. Ch,0,0,0,0,-1,0,0.5,1
Fri May 07 23:41:09 2021,"
Maison à vendre à LUXEMBOURG-ROLLINGERGRUND
1HEHV
",TRUE,FALSE,TRUE,750 000,https://www.immotop.lu/properties/used/house/2491555,360,,2,-1,1,70. Ch,0,0,0,0,2,0,0.5,2
Fri May 07 23:37:09 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1HG9D
",TRUE,FALSE,TRUE,660 000,https://www.immotop.lu/properties/used/apartment/2493841,74,,1,1998,0,51. Ch,0,1,0,0,1,0,0.45000000000000007,1
Fri May 07 23:37:11 2021,"
Appartement à vendre à LUXEMBOURG-CENTRE
1B2TM
",TRUE,FALSE,TRUE,870 000,https://www.immotop.lu/properties/used/apartment/2196490,76,,2,2015,1,84. Ch,0,1,0,0,-1,0,0.45000000000000007,2
Fri May 07 23:37:20 2021,"
Emplacement intérieur à vendre à LUXEMBOURG-CENTRE
1HFWJ
",TRUE,FALSE,TRUE,280 000,https://www.immotop.lu/properties/used/garage/covered-parking/2493379,80,,NA,-1,0,NA,0,1,0,0,-1,0,0.45000000000000007,-1
Fri May 07 23:39:18 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1HG87
",TRUE,FALSE,TRUE,595 000,https://www.immotop.lu/properties/used/apartment/2493799,222,,1,1996,0,57. Ch,0,1,0,0,1,0,0.45000000000000007,1
