date,texto,ville,cents,vente,price,link,pagenr,lastseen,indexscore,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,chambre
Wed Apr 28 12:12:00 2021,"
Duplex à vendre à LUXEMBOURG-BONNEVOIE
1H3L4
",TRUE,FALSE,TRUE,980 000,https://www.immotop.lu/properties/used/apartment/duplex/2477416,206,,0.55,3,2000,0,105. C,0,1,0,0,3,0,3
Wed Apr 28 12:11:51 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H3PY
",TRUE,FALSE,TRUE,789 194,https://www.immotop.lu/properties/new/apartment/2477590,199,,0.45000000000000007,1,-1,0,46.49.,0,1,0,0,2,0,1
Wed Apr 28 12:11:51 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H3PV
",TRUE,FALSE,TRUE,806 987,https://www.immotop.lu/properties/new/apartment/2477587,199,,0.45000000000000007,1,-1,0,46.49.,0,1,0,0,-1,0,1
Wed Apr 28 12:11:51 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H3PM
",TRUE,FALSE,TRUE,778 140,https://www.immotop.lu/properties/new/apartment/2477578,199,,0.45000000000000007,1,-1,0,46.49.,0,1,0,0,1,0,1
Wed Apr 28 12:13:20 2021,"
Appartement à vendre à LUXEMBOURG-ROLLINGERGRUND
1H36M
",TRUE,FALSE,TRUE,750 000,https://www.immotop.lu/properties/used/apartment/2476894,270,,0.45000000000000007,2,-1,0,NA,0,1,0,0,1,0,2
Wed Apr 28 12:07:52 2021,"
Maison à vendre à LUXEMBOURG-KIRCHBERG
1ET38
",TRUE,FALSE,TRUE,1 449 000,https://www.immotop.lu/properties/used/house/2370500,12,,0.45,3,1927,0,125. C,0,1,0,0,-1,0,3
Wed Apr 28 12:07:56 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1H2SG
",TRUE,FALSE,TRUE,1 050 000,https://www.immotop.lu/properties/used/apartment/2476384,15,,0.45,3,1978,0,108. C,0,1,0,0,1,0,3
Wed Apr 28 12:11:51 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1H3Q1
",TRUE,FALSE,TRUE,1 938 893,https://www.immotop.lu/properties/new/apartment/2477593,199,,0.45,3,-1,0,108.22,0,1,0,0,3,0,3
Wed Apr 28 12:13:48 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1H2VD
",TRUE,FALSE,TRUE,1 790 000,https://www.immotop.lu/properties/used/apartment/2476489,293,,0.45,3,2017,1,160.61,0,1,0,0,-1,0,3
Wed Apr 28 12:07:56 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1H2S7
",TRUE,FALSE,TRUE,759 000,https://www.immotop.lu/properties/used/apartment/2476375,15,,0.4000000000000001,2,1960,0,84. Ch,0,0,0,0,1,0,2
Wed Apr 28 12:11:54 2021,"
Appartement à vendre à LUXEMBOURG-GASPERICH
1H3NS
",TRUE,FALSE,TRUE,795 000,https://www.immotop.lu/properties/used/apartment/2477512,201,,0.4000000000000001,2,-1,0,87. Ch,0,0,0,0,-1,0,2
