date,texto,ville,cents,vente,price,link,pagenr,lastseen,chambres,annee,chauss,m2,terrasse,garage,cave,jardin,etage,ground,indexscore,chambre
Thu Apr 29 13:27:30 2021,"
Appartement à vendre à LUXEMBOURG-CENTS
1H5G1
",TRUE,TRUE,TRUE,795 000,https://www.immotop.lu/properties/used/apartment/2479825,197,,2,2010,0,85. Ch,0,1,0,0,2,0,0.55,2
Thu Apr 29 13:23:39 2021,"
Appartement à vendre à LUXEMBOURG-GARE
1H5F1
",TRUE,FALSE,TRUE,545 000,https://www.immotop.lu/properties/used/apartment/2479789,7,,1,1966,1,46.7. ,0,0,0,0,2,0,0.5,1
Thu Apr 29 13:49:40 2021,"
Appartement à vendre à LUXEMBOURG-KIRCHBERG
1FSC5
",TRUE,FALSE,TRUE,1 095 000,https://www.immotop.lu/properties/used/apartment/2416181,1310,,3,1972,0,124.7.,0,1,0,0,1,0,0.45,3
Thu Apr 29 13:25:00 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1H5E4
",TRUE,FALSE,TRUE,799 000,https://www.immotop.lu/properties/used/apartment/2479756,73,,2,-1,0,74. Ch,0,0,0,0,-1,0,0.4000000000000001,2
Thu Apr 29 13:27:26 2021,"
Appartement à vendre à LUXEMBOURG-BEGGEN
1H5JS
",TRUE,FALSE,TRUE,705 000,https://www.immotop.lu/properties/used/apartment/2479960,194,,2,1964,0,78. Ch,0,0,0,0,2,0,0.4000000000000001,2
Thu Apr 29 13:27:26 2021,"
Résidence à vendre à LUXEMBOURG-EICH
1H5J4
",TRUE,FALSE,TRUE,0,https://www.immotop.lu/properties/new/residence/2479936,194,,NA,-1,0,NA,0,0,0,0,-1,0,0.4000000000000001,-1
Thu Apr 29 13:27:28 2021,"
Fonds de commerce à vendre à LUXEMBOURG-GARE
1H5HG
",TRUE,FALSE,TRUE,120 000,https://www.immotop.lu/properties/used/business/2479876,196,,NA,-1,0,NA,0,0,0,0,-1,0,0.4000000000000001,-1
Thu Apr 29 13:27:53 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1H584
",TRUE,FALSE,TRUE,850 000,https://www.immotop.lu/properties/used/apartment/2479540,217,,2,-1,0,77. Ch,0,0,0,0,1,0,0.4000000000000001,2
Thu Apr 29 14:13:59 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
OYZV
",TRUE,FALSE,TRUE,949 000,https://www.immotop.lu/properties/used/apartment/1165099,2536,,1,2018,1,72. Ch,0,0,0,0,-1,0,0.4,1
Thu Apr 29 14:00:27 2021,"
Appartement à vendre à LUXEMBOURG-CESSANGE
1CSUD
",TRUE,FALSE,TRUE,1 650 000,https://www.immotop.lu/properties/used/apartment/2276869,1854,,3,-1,0,NA,0,0,0,0,-1,0,0.39999999999999997,3
Thu Apr 29 13:28:51 2021,"
Appartement à vendre à LUXEMBOURG-DOMMELDANGE
1H3XA
",TRUE,FALSE,TRUE,978 000,https://www.immotop.lu/properties/used/apartment/2477854,266,,2,2013,0,90. Ch,0,1,0,0,-1,0,0.3500000000000001,2
Thu Apr 29 13:47:53 2021,"
Appartement à vendre à LUXEMBOURG-HOLLERICH
1G11S
",TRUE,FALSE,TRUE,699 000,https://www.immotop.lu/properties/used/apartment/2427472,1218,,1,2002,0,76. Ch,0,1,0,0,9,0,0.3500000000000001,1
Thu Apr 29 13:28:19 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1H4V1
",TRUE,FALSE,TRUE,949 000,https://www.immotop.lu/properties/used/apartment/2479069,239,,1,2016,0,64.5. ,0,0,0,0,-1,0,0.30000000000000004,1
Thu Apr 29 13:28:27 2021,"
Appartement à vendre à LUXEMBOURG-BELAIR
1H4LD
",TRUE,FALSE,TRUE,949 000,https://www.immotop.lu/properties/used/apartment/2478721,246,,1,2016,0,72. Ch,0,0,0,0,-1,0,0.30000000000000004,1
Thu Apr 29 13:53:59 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1EU8H
",TRUE,FALSE,TRUE,750 000,https://www.immotop.lu/properties/used/apartment/2371985,1528,,2,2022,0,52.23.,0,0,0,0,2,0,0.30000000000000004,2
Thu Apr 29 13:28:51 2021,"
Maison à vendre à LUXEMBOURG-CENTS
1H3X1
",TRUE,TRUE,TRUE,2 150 000,https://www.immotop.lu/properties/new/house/2477845,266,,4,2020,0,250. C,0,0,0,0,-1,0,0.3,4
Thu Apr 29 13:45:26 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1GAZ4
",TRUE,FALSE,TRUE,2 590 000,https://www.immotop.lu/properties/used/apartment/2440336,1094,,3,2016,0,192. C,0,0,0,0,-1,0,0.3,3
Thu Apr 29 13:27:26 2021,"
Appartement à vendre à LUXEMBOURG-BONNEVOIE
1H5JV
",TRUE,FALSE,TRUE,1 490 000,https://www.immotop.lu/properties/used/apartment/2479963,194,,2,2018,1,118. C,0,1,0,0,4,0,0.25000000000000006,2
Thu Apr 29 13:28:54 2021,"
Terrain à vendre à LUXEMBOURG-BELAIR
1H3VV
",TRUE,FALSE,TRUE,1 771 000,https://www.immotop.lu/properties/new/ground/2477803,268,,NA,-1,0,NA,0,0,0,0,-1,0,0.20000000000000007,-1
Thu Apr 29 14:00:27 2021,"
Appartement à vendre à LUXEMBOURG-MERL
1CSUP
",TRUE,FALSE,TRUE,4 950 000,https://www.immotop.lu/properties/used/apartment/2276881,1854,,4,2022,0,262.97,0,0,0,0,4,0,0.10000000000000003,4
